date,rec,daten,BAA,AAA,t3m,t10y,t5y,t1y,time,spr1,spr5,spr10,hyspr
1882-04-01,1,01apr1882,,,,,,,1882m4,,,,
1882-05-01,1,01may1882,,,,,,,1882m5,,,,
1882-06-01,1,01jun1882,,,,,,,1882m6,,,,
1882-07-01,1,01jul1882,,,,,,,1882m7,,,,
1882-08-01,1,01aug1882,,,,,,,1882m8,,,,
1882-09-01,1,01sep1882,,,,,,,1882m9,,,,
1882-10-01,1,01oct1882,,,,,,,1882m10,,,,
1882-11-01,1,01nov1882,,,,,,,1882m11,,,,
1882-12-01,1,01dec1882,,,,,,,1882m12,,,,
1883-01-01,1,01jan1883,,,,,,,1883m1,,,,
1883-02-01,1,01feb1883,,,,,,,1883m2,,,,
1883-03-01,1,01mar1883,,,,,,,1883m3,,,,
1883-04-01,1,01apr1883,,,,,,,1883m4,,,,
1883-05-01,1,01may1883,,,,,,,1883m5,,,,
1883-06-01,1,01jun1883,,,,,,,1883m6,,,,
1883-07-01,1,01jul1883,,,,,,,1883m7,,,,
1883-08-01,1,01aug1883,,,,,,,1883m8,,,,
1883-09-01,1,01sep1883,,,,,,,1883m9,,,,
1883-10-01,1,01oct1883,,,,,,,1883m10,,,,
1883-11-01,1,01nov1883,,,,,,,1883m11,,,,
1883-12-01,1,01dec1883,,,,,,,1883m12,,,,
1884-01-01,1,01jan1884,,,,,,,1884m1,,,,
1884-02-01,1,01feb1884,,,,,,,1884m2,,,,
1884-03-01,1,01mar1884,,,,,,,1884m3,,,,
1884-04-01,1,01apr1884,,,,,,,1884m4,,,,
1884-05-01,1,01may1884,,,,,,,1884m5,,,,
1884-06-01,1,01jun1884,,,,,,,1884m6,,,,
1884-07-01,1,01jul1884,,,,,,,1884m7,,,,
1884-08-01,1,01aug1884,,,,,,,1884m8,,,,
1884-09-01,1,01sep1884,,,,,,,1884m9,,,,
1884-10-01,1,01oct1884,,,,,,,1884m10,,,,
1884-11-01,1,01nov1884,,,,,,,1884m11,,,,
1884-12-01,1,01dec1884,,,,,,,1884m12,,,,
1885-01-01,1,01jan1885,,,,,,,1885m1,,,,
1885-02-01,1,01feb1885,,,,,,,1885m2,,,,
1885-03-01,1,01mar1885,,,,,,,1885m3,,,,
1885-04-01,1,01apr1885,,,,,,,1885m4,,,,
1885-05-01,1,01may1885,,,,,,,1885m5,,,,
1885-06-01,0,01jun1885,,,,,,,1885m6,,,,
1885-07-01,0,01jul1885,,,,,,,1885m7,,,,
1885-08-01,0,01aug1885,,,,,,,1885m8,,,,
1885-09-01,0,01sep1885,,,,,,,1885m9,,,,
1885-10-01,0,01oct1885,,,,,,,1885m10,,,,
1885-11-01,0,01nov1885,,,,,,,1885m11,,,,
1885-12-01,0,01dec1885,,,,,,,1885m12,,,,
1886-01-01,0,01jan1886,,,,,,,1886m1,,,,
1886-02-01,0,01feb1886,,,,,,,1886m2,,,,
1886-03-01,0,01mar1886,,,,,,,1886m3,,,,
1886-04-01,0,01apr1886,,,,,,,1886m4,,,,
1886-05-01,0,01may1886,,,,,,,1886m5,,,,
1886-06-01,0,01jun1886,,,,,,,1886m6,,,,
1886-07-01,0,01jul1886,,,,,,,1886m7,,,,
1886-08-01,0,01aug1886,,,,,,,1886m8,,,,
1886-09-01,0,01sep1886,,,,,,,1886m9,,,,
1886-10-01,0,01oct1886,,,,,,,1886m10,,,,
1886-11-01,0,01nov1886,,,,,,,1886m11,,,,
1886-12-01,0,01dec1886,,,,,,,1886m12,,,,
1887-01-01,0,01jan1887,,,,,,,1887m1,,,,
1887-02-01,0,01feb1887,,,,,,,1887m2,,,,
1887-03-01,0,01mar1887,,,,,,,1887m3,,,,
1887-04-01,1,01apr1887,,,,,,,1887m4,,,,
1887-05-01,1,01may1887,,,,,,,1887m5,,,,
1887-06-01,1,01jun1887,,,,,,,1887m6,,,,
1887-07-01,1,01jul1887,,,,,,,1887m7,,,,
1887-08-01,1,01aug1887,,,,,,,1887m8,,,,
1887-09-01,1,01sep1887,,,,,,,1887m9,,,,
1887-10-01,1,01oct1887,,,,,,,1887m10,,,,
1887-11-01,1,01nov1887,,,,,,,1887m11,,,,
1887-12-01,1,01dec1887,,,,,,,1887m12,,,,
1888-01-01,1,01jan1888,,,,,,,1888m1,,,,
1888-02-01,1,01feb1888,,,,,,,1888m2,,,,
1888-03-01,1,01mar1888,,,,,,,1888m3,,,,
1888-04-01,1,01apr1888,,,,,,,1888m4,,,,
1888-05-01,0,01may1888,,,,,,,1888m5,,,,
1888-06-01,0,01jun1888,,,,,,,1888m6,,,,
1888-07-01,0,01jul1888,,,,,,,1888m7,,,,
1888-08-01,0,01aug1888,,,,,,,1888m8,,,,
1888-09-01,0,01sep1888,,,,,,,1888m9,,,,
1888-10-01,0,01oct1888,,,,,,,1888m10,,,,
1888-11-01,0,01nov1888,,,,,,,1888m11,,,,
1888-12-01,0,01dec1888,,,,,,,1888m12,,,,
1889-01-01,0,01jan1889,,,,,,,1889m1,,,,
1889-02-01,0,01feb1889,,,,,,,1889m2,,,,
1889-03-01,0,01mar1889,,,,,,,1889m3,,,,
1889-04-01,0,01apr1889,,,,,,,1889m4,,,,
1889-05-01,0,01may1889,,,,,,,1889m5,,,,
1889-06-01,0,01jun1889,,,,,,,1889m6,,,,
1889-07-01,0,01jul1889,,,,,,,1889m7,,,,
1889-08-01,0,01aug1889,,,,,,,1889m8,,,,
1889-09-01,0,01sep1889,,,,,,,1889m9,,,,
1889-10-01,0,01oct1889,,,,,,,1889m10,,,,
1889-11-01,0,01nov1889,,,,,,,1889m11,,,,
1889-12-01,0,01dec1889,,,,,,,1889m12,,,,
1890-01-01,0,01jan1890,,,,,,,1890m1,,,,
1890-02-01,0,01feb1890,,,,,,,1890m2,,,,
1890-03-01,0,01mar1890,,,,,,,1890m3,,,,
1890-04-01,0,01apr1890,,,,,,,1890m4,,,,
1890-05-01,0,01may1890,,,,,,,1890m5,,,,
1890-06-01,0,01jun1890,,,,,,,1890m6,,,,
1890-07-01,0,01jul1890,,,,,,,1890m7,,,,
1890-08-01,1,01aug1890,,,,,,,1890m8,,,,
1890-09-01,1,01sep1890,,,,,,,1890m9,,,,
1890-10-01,1,01oct1890,,,,,,,1890m10,,,,
1890-11-01,1,01nov1890,,,,,,,1890m11,,,,
1890-12-01,1,01dec1890,,,,,,,1890m12,,,,
1891-01-01,1,01jan1891,,,,,,,1891m1,,,,
1891-02-01,1,01feb1891,,,,,,,1891m2,,,,
1891-03-01,1,01mar1891,,,,,,,1891m3,,,,
1891-04-01,1,01apr1891,,,,,,,1891m4,,,,
1891-05-01,1,01may1891,,,,,,,1891m5,,,,
1891-06-01,0,01jun1891,,,,,,,1891m6,,,,
1891-07-01,0,01jul1891,,,,,,,1891m7,,,,
1891-08-01,0,01aug1891,,,,,,,1891m8,,,,
1891-09-01,0,01sep1891,,,,,,,1891m9,,,,
1891-10-01,0,01oct1891,,,,,,,1891m10,,,,
1891-11-01,0,01nov1891,,,,,,,1891m11,,,,
1891-12-01,0,01dec1891,,,,,,,1891m12,,,,
1892-01-01,0,01jan1892,,,,,,,1892m1,,,,
1892-02-01,0,01feb1892,,,,,,,1892m2,,,,
1892-03-01,0,01mar1892,,,,,,,1892m3,,,,
1892-04-01,0,01apr1892,,,,,,,1892m4,,,,
1892-05-01,0,01may1892,,,,,,,1892m5,,,,
1892-06-01,0,01jun1892,,,,,,,1892m6,,,,
1892-07-01,0,01jul1892,,,,,,,1892m7,,,,
1892-08-01,0,01aug1892,,,,,,,1892m8,,,,
1892-09-01,0,01sep1892,,,,,,,1892m9,,,,
1892-10-01,0,01oct1892,,,,,,,1892m10,,,,
1892-11-01,0,01nov1892,,,,,,,1892m11,,,,
1892-12-01,0,01dec1892,,,,,,,1892m12,,,,
1893-01-01,0,01jan1893,,,,,,,1893m1,,,,
1893-02-01,1,01feb1893,,,,,,,1893m2,,,,
